conforming_loan_limit,preapproval,loan_term,aus_1,applicant_age,applicant_credit_score_type,combined_loan_to_value_ratio,property_value,income,debt_to_income_ratio,loan_amount,applicant_ethnicity_1,applicant_race_1,applicant_sex,action_taken
1,0,39,0,0,2,80.0,225000.0,39.0,17,185000.0,1,4,0,0
1,0,39,0,0,1,79.76,165000.0,32.0,13,135000.0,1,1,0,0
1,0,39,0,0,1,97.0,245000.0,42.0,17,195000.0,0,4,0,0
1,0,39,0,0,1,109.85,135000.0,49.0,17,145000.0,1,2,0,0
1,0,39,0,0,2,96.5,285000.0,58.0,19,275000.0,0,4,0,0
1,0,39,0,0,1,85.0,215000.0,54.0,6,185000.0,2,5,0,0
1,0,39,1,0,1,97.0,415000.0,88.0,11,405000.0,1,1,1,0
1,0,39,0,0,0,102.72,165000.0,144.0,12,175000.0,1,5,0,0
2,0,39,5,0,0,85.0,615000.0,135.0,8,525000.0,1,4,0,0
1,0,39,1,0,1,97.0,115000.0,44.0,17,105000.0,2,5,0,0
1,0,39,0,0,0,95.0,355000.0,72.0,10,335000.0,1,1,1,0
1,0,28,0,0,2,74.91,265000.0,86.0,19,205000.0,1,4,0,0
1,0,39,0,0,1,95.0,245000.0,53.0,17,235000.0,0,4,0,0
1,0,39,1,0,1,96.97,335000.0,69.0,17,325000.0,1,4,0,0
1,0,39,0,0,0,78.89,275000.0,36.0,19,215000.0,0,4,0,0
1,0,39,3,0,0,101.01,155000.0,40.0,2,155000.0,2,5,0,0
1,0,39,0,0,0,85.11,285000.0,36.0,17,245000.0,1,1,0,0
1,0,39,1,0,6,98.3,215000.0,70.0,11,215000.0,2,5,1,0
1,0,39,0,0,1,100.0,165000.0,19.0,19,165000.0,1,4,0,0
1,0,39,0,0,1,95.0,265000.0,95.0,17,225000.0,1,4,0,0
1,0,39,0,0,0,118.86,135000.0,28.0,17,155000.0,0,5,1,0
1,0,39,1,0,1,107.39,145000.0,48.0,6,155000.0,1,4,1,0
1,0,39,0,0,1,80.7,285000.0,50.0,6,235000.0,2,5,1,0
2,0,39,5,0,0,79.91,685000.0,46.0,19,545000.0,1,1,0,0
1,0,39,0,0,1,96.5,315000.0,90.0,11,305000.0,1,4,0,0
1,0,39,0,0,1,96.5,205000.0,9.0,19,205000.0,2,5,1,0
1,0,14,1,0,2,43.68,325000.0,37.0,13,145000.0,1,1,1,0
1,0,39,0,0,0,95.0,265000.0,50.0,17,255000.0,0,4,1,0
1,0,39,0,0,2,79.83,185000.0,28.0,17,145000.0,1,4,0,0
1,0,39,0,0,1,90.38,85000.0,41.0,1,75000.0,1,1,0,0
1,0,39,1,0,1,98.87,185000.0,77.0,9,175000.0,1,2,0,0
1,0,39,0,0,1,96.5,185000.0,67.0,9,175000.0,1,4,0,0
1,0,39,1,0,2,81.85,545000.0,97.0,9,445000.0,1,4,0,0
1,0,39,1,0,2,80.0,125000.0,13.0,19,105000.0,1,4,0,0
1,0,24,0,0,2,102.89,245000.0,52.0,11,245000.0,0,4,0,0
1,0,39,0,0,1,47.17,845000.0,71.0,10,405000.0,1,1,0,0
1,0,39,3,0,6,101.01,155000.0,49.0,10,155000.0,1,4,0,0
1,0,39,0,0,0,90.0,385000.0,0.0,18,345000.0,1,1,1,0
1,0,39,0,0,0,100.0,365000.0,67.0,17,375000.0,1,4,1,0
1,0,39,0,0,0,54.17,485000.0,36.0,19,265000.0,2,5,0,0
1,0,39,0,0,2,96.5,305000.0,64.0,19,295000.0,1,4,0,0
1,0,39,0,0,1,94.9,195000.0,55.0,10,185000.0,1,4,0,0
1,0,39,0,0,2,52.83,535000.0,42.0,17,285000.0,0,4,0,0
1,0,39,0,0,0,89.92,365000.0,94.0,17,295000.0,1,4,0,0
1,0,39,3,0,1,101.01,165000.0,43.0,9,165000.0,1,2,1,0
1,0,39,3,0,0,101.01,335000.0,67.0,6,335000.0,0,4,0,0
1,0,39,1,0,6,62.5,325000.0,38.0,14,205000.0,1,4,0,0
1,0,39,0,0,0,97.0,315000.0,53.0,17,305000.0,1,4,0,0
1,0,39,0,0,2,96.5,155000.0,37.0,15,155000.0,1,2,0,0
1,0,39,0,0,0,84.13,635000.0,42.0,19,535000.0,2,5,1,0
1,0,39,1,0,1,90.0,515000.0,80.0,12,465000.0,2,5,0,0
1,0,39,0,0,2,96.5,215000.0,40.0,19,195000.0,0,4,1,0
1,0,39,0,0,2,89.11,205000.0,56.0,2,185000.0,1,4,1,0
1,0,39,0,0,0,80.0,105000.0,58.0,17,75000.0,0,4,1,0
1,0,39,1,0,1,95.0,175000.0,0.0,19,165000.0,1,2,1,0
